fips,name,name_full,population,lat,lon
17001,Adams,Adams County,65737,39.94043,-91.29571
17003,Alexander,Alexander County,5240,37.08786,-89.29749
17005,Bond,Bond County,16725,38.89536,-89.47732
17007,Boone,Boone County,53448,42.39653,-88.78348
17009,Brown,Brown County,6244,39.94049,-90.66626
17011,Bureau,Bureau County,33244,41.3254,-89.60468
17013,Calhoun,Calhoun County,4437,39.05514,-90.63253
17015,Carroll,Carroll County,15702,42.07051,-90.11089
17017,Cass,Cass County,13042,40.00462,-90.29497
17019,Champaign,Champaign County,205865,40.20632,-88.28551
17021,Christian,Christian County,34032,39.65457,-89.2436
17023,Clark,Clark County,15455,39.33705,-87.65527
17025,Clay,Clay County,13288,38.76789,-88.47616
17027,Clinton,Clinton County,36899,38.61592,-89.44444
17029,Coles,Coles County,46863,39.53381,-88.21134
17031,Cook,Cook County,5275541,41.93659,-87.74712
17033,Crawford,Crawford County,18679,38.98058,-87.63848
17035,Cumberland,Cumberland County,10450,39.26058,-88.28455
17039,De Witt,De Witt County,15516,40.20531,-88.83202
17037,DeKalb,DeKalb County,100420,41.89239,-88.72092
17041,Douglas,Douglas County,19740,39.77655,-88.22189
17043,DuPage,DuPage County,932877,41.87583,-88.10192
17045,Edgar,Edgar County,16866,39.65743,-87.59577
17047,Edwards,Edwards County,6245,38.34427,-88.0113
17049,Effingham,Effingham County,34668,39.08135,-88.57554
17051,Fayette,Fayette County,21488,39.07476,-89.02126
17053,Ford,Ford County,13534,40.68259,-88.15407
17055,Franklin,Franklin County,37804,37.9371,-88.90896
17057,Fulton,Fulton County,33609,40.56056,-90.26265
17059,Gallatin,Gallatin County,4946,37.77773,-88.19632
17061,Greene,Greene County,11985,39.33971,-90.41889
17063,Grundy,Grundy County,52533,41.23828,-88.35029
17065,Hamilton,Hamilton County,7993,37.99889,-88.5063
17067,Hancock,Hancock County,17620,40.46084,-91.31142
17069,Hardin,Hardin County,3649,37.50521,-88.21624
17071,Henderson,Henderson County,6387,40.81228,-91.00785
17073,Henry,Henry County,49284,41.34765,-90.08951
17075,Iroquois,Iroquois County,27077,40.74573,-87.6207
17077,Jackson,Jackson County,52974,37.71406,-89.4427
17079,Jasper,Jasper County,9287,39.01928,-88.15683
17081,Jefferson,Jefferson County,37113,38.28352,-88.92201
17083,Jersey,Jersey County,21512,39.05758,-90.38958
17085,Jo Daviess,Jo Daviess County,22035,42.44362,-90.35165
17087,Johnson,Johnson County,13308,37.46186,-88.90393
