fips,name,name_full,population,lat,lon
18001,Adams,Adams County,35809,40.73021,-84.83221
18003,Allen,Allen County,385410,41.12721,-84.96265
18005,Bartholomew,Bartholomew County,82208,39.22306,-85.86472
18007,Benton,Benton County,8719,40.59454,-87.34111
18009,Blackford,Blackford County,12112,40.44176,-85.28985
18011,Boone,Boone County,70812,40.03792,-86.37165
18013,Brown,Brown County,15475,39.20873,-86.20663
18015,Carroll,Carroll County,20306,40.62926,-86.61263
18017,Cass,Cass County,37870,40.71004,-86.3588
18019,Clark,Clark County,121093,38.41339,-85.66953
18021,Clay,Clay County,26466,39.35857,-87.10387
18023,Clinton,Clinton County,33190,40.26893,-86.42573
18025,Crawford,Crawford County,10526,38.23011,-86.41877
18027,Daviess,Daviess County,33381,38.72394,-87.10464
18029,Dearborn,Dearborn County,50679,39.16774,-84.86887
18031,Decatur,Decatur County,26472,39.24819,-85.57063
18033,DeKalb,DeKalb County,43265,41.41823,-84.85291
18035,Delaware,Delaware County,111903,40.28081,-85.36849
18037,Dubois,Dubois County,43637,38.32378,-86.86061
18039,Elkhart,Elkhart County,207047,41.66588,-85.87991
18041,Fayette,Fayette County,23398,39.65489,-85.15895
18043,Floyd,Floyd County,80484,38.32398,-85.8951
18045,Fountain,Fountain County,16479,40.08944,-87.21001
18047,Franklin,Franklin County,22785,39.42537,-84.98758
18049,Fulton,Fulton County,20480,41.03301,-86.12095
18051,Gibson,Gibson County,33011,38.31218,-87.61695
18053,Grant,Grant County,66674,40.51867,-85.66572
18055,Greene,Greene County,30803,39.00883,-86.99347
18057,Hamilton,Hamilton County,347467,40.02168,-86.06597
18059,Hancock,Hancock County,79840,39.84481,-85.81833
18061,Harrison,Harrison County,39654,38.10977,-86.07361
18063,Hendricks,Hendricks County,174788,39.72691,-86.50063
18065,Henry,Henry County,48914,39.94938,-85.36936
18067,Howard,Howard County,83658,40.49929,-86.16223
18069,Huntington,Huntington County,36662,40.86127,-85.4646
18071,Jackson,Jackson County,46428,38.92437,-86.0946
18073,Jasper,Jasper County,32918,41.08765,-87.07618
18075,Jay,Jay County,20478,40.41569,-84.9688
18077,Jefferson,Jefferson County,33147,38.72079,-85.39466
18079,Jennings,Jennings County,27613,39.00089,-85.65553
18081,Johnson,Johnson County,161765,39.48802,-86.05497
18083,Knox,Knox County,36282,38.7155,-87.50543
18085,Kosciusko,Kosciusko County,80240,41.20033,-85.8607
18087,LaGrange,LaGrange County,40446,41.74282,-85.43837
18089,Lake,Lake County,498700,41.56394,-87.43861
18091,LaPorte,LaPorte County,112417,41.64293,-86.76128
18093,Lawrence,Lawrence County,45011,38.88908,-86.48635
18095,Madison,Madison County,130129,40.16602,-85.70476
18097,Marion,Marion County,977203,39.78108,-86.13567
18099,Marshall,Marshall County,46095,41.36657,-86.18286
18101,Martin,Martin County,9812,38.69583,-86.78315
18103,Miami,Miami County,35962,40.72786,-86.01212
18105,Monroe,Monroe County,139718,39.13832,-86.50401
18107,Montgomery,Montgomery County,37936,40.01457,-86.93993
18109,Morgan,Morgan County,71780,39.49651,-86.43496
18111,Newton,Newton County,13830,41.02177,-87.48847
18113,Noble,Noble County,47457,41.39205,-85.4999
18115,Ohio,Ohio County,5940,38.95556,-84.95876
18117,Orange,Orange County,19867,38.52608,-86.44871
18119,Owen,Owen County,21321,39.32809,-86.7991
18121,Parke,Parke County,16156,39.85876,-87.21006
18123,Perry,Perry County,19170,38.00603,-86.61952
18125,Pike,Pike County,12250,38.38359,-87.27597
18127,Porter,Porter County,173215,41.55285,-87.06371
18129,Posey,Posey County,25222,37.95686,-87.92598
18131,Pulaski,Pulaski County,12514,41.0091,-86.7325
18133,Putnam,Putnam County,36726,39.6211,-86.85722
18135,Randolph,Randolph County,24502,40.15295,-84.89706
18137,Ripley,Ripley County,28995,39.10709,-85.26125
18139,Rush,Rush County,16752,39.62335,-85.46195
18141,St. Joseph,St. Joseph County,272912,41.62965,-86.33818
18143,Scott,Scott County,24384,38.67266,-85.72889
18145,Shelby,Shelby County,45055,39.47753,-85.8264
18147,Spencer,Spencer County,19810,37.92657,-87.01417
18149,Starke,Starke County,23371,41.32827,-86.66776
18151,Steuben,Steuben County,34435,41.71144,-84.92552
18153,Sullivan,Sullivan County,20817,39.09133,-87.52756
18155,Switzerland,Switzerland County,9737,38.81168,-84.99909
18157,Tippecanoe,Tippecanoe County,186251,40.43414,-86.94171
18159,Tipton,Tipton County,15359,40.3286,-86.00477
18161,Union,Union County,7087,39.61738,-84.84419
18163,Vanderburgh,Vanderburgh County,180136,37.9193,-87.60397
18165,Vermillion,Vermillion County,15439,39.88714,-87.502
18167,Vigo,Vigo County,106153,39.42738,-87.49718
18169,Wabash,Wabash County,30976,40.89881,-85.83512
18171,Warren,Warren County,8440,40.29636,-87.3801
18173,Warrick,Warrick County,63898,38.04831,-87.28794
18175,Washington,Washington County,28182,38.54433,-86.06862
18177,Wayne,Wayne County,66553,39.84473,-84.86888
18179,Wells,Wells County,28180,40.73303,-85.28621
18181,White,White County,24688,40.76203,-86.8344
18183,Whitley,Whitley County,34191,41.15335,-85.55208
