fips,name,name_full,population,lat,lon
26001,Alcona,Alcona County,10167,44.68136,-83.31279
26003,Alger,Alger County,8842,46.50651,-86.63195
26005,Allegan,Allegan County,120502,42.60831,-86.11034
26007,Alpena,Alpena County,28907,45.04929,-83.38609
26009,Antrim,Antrim County,23431,45.01799,-85.31988
26011,Arenac,Arenac County,15002,44.02082,-83.7708
26013,Baraga,Baraga County,8158,46.89831,-88.25896
26015,Barry,Barry County,62423,42.62033,-85.27391
26017,Bay,Bay County,103856,43.69402,-83.89802
26019,Benzie,Benzie County,17970,44.69358,-86.13785
26021,Berrien,Berrien County,154316,41.9683,-86.56802
26023,Branch,Branch County,44862,41.81179,-85.10869
26025,Calhoun,Calhoun County,134310,42.22838,-85.10348
26027,Cass,Cass County,51589,41.80845,-86.01216
26029,Charlevoix,Charlevoix County,26054,45.68795,-85.5424
26031,Cheboygan,Cheboygan County,25579,45.62506,-84.51121
26033,Chippewa,Chippewa County,36785,46.23355,-84.21591
26035,Clare,Clare County,30856,44.06201,-84.77969
26037,Clinton,Clinton County,79128,42.92449,-84.51317
26039,Crawford,Crawford County,12988,44.71728,-84.56248
26041,Delta,Delta County,36903,45.7532,-86.83896
26043,Dickinson,Dickinson County,25947,45.86124,-87.9765
26045,Eaton,Eaton County,109175,42.57115,-84.78643
26047,Emmet,Emmet County,34112,45.60375,-84.98779
26049,Genesee,Genesee County,406211,43.02647,-83.76128
26051,Gladwin,Gladwin County,25386,44.05499,-84.41226
26053,Gogebic,Gogebic County,14380,46.48934,-89.97918
26055,Grand Traverse,Grand Traverse County,95238,44.84701,-85.52776
26057,Gratiot,Gratiot County,41761,43.2754,-84.52658
26059,Hillsdale,Hillsdale County,45746,41.7829,-84.63355
26061,Houghton,Houghton County,37361,47.1082,-88.4951
26063,Huron,Huron County,31407,43.90446,-83.07274
26065,Ingham,Ingham County,284900,42.67828,-84.31744
26067,Ionia,Ionia County,66804,42.9446,-85.11381
26069,Iosco,Iosco County,25237,44.32283,-83.43898
26071,Iron,Iron County,11631,46.0445,-88.57865
26073,Isabella,Isabella County,64394,43.58224,-84.88639
26075,Jackson,Jackson County,160366,42.24746,-84.36594
26077,Kalamazoo,Kalamazoo County,261670,42.31069,-85.44479
26079,Kalkaska,Kalkaska County,17939,44.67741,-85.08462
26081,Kent,Kent County,657974,43.06807,-85.6196
26083,Keweenaw,Keweenaw County,2046,47.4106,-88.10366
26085,Lake,Lake County,12096,44.03472,-85.8661
26087,Lapeer,Lapeer County,88619,43.11538,-83.18694
26089,Leelanau,Leelanau County,22301,45.00726,-85.73322
26091,Lenawee,Lenawee County,99423,41.85232,-84.00428
26093,Livingston,Livingston County,193866,42.62348,-83.91697
26095,Luce,Luce County,5339,46.66903,-85.60997
26097,Mackinac,Mackinac County,10834,45.98695,-85.01816
26099,Macomb,Macomb County,881217,42.61917,-82.8688
26101,Manistee,Manistee County,25032,44.31955,-86.27376
26103,Marquette,Marquette County,66017,46.74997,-87.6548
26105,Mason,Mason County,29052,43.99352,-86.43621
26107,Mecosta,Mecosta County,39714,43.6064,-85.37221
26109,Menominee,Menominee County,23502,45.34758,-87.54849
26111,Midland,Midland County,83494,43.5843,-84.35134
26113,Missaukee,Missaukee County,15052,44.34959,-85.0236
26115,Monroe,Monroe County,154809,41.86924,-83.37468
26117,Montcalm,Montcalm County,66614,43.29319,-85.22877
26119,Montmorency,Montmorency County,9153,45.02768,-84.18778
26121,Muskegon,Muskegon County,175824,43.3175,-86.34028
26123,Newaygo,Newaygo County,49978,43.44847,-85.74759
26125,Oakland,Oakland County,1274395,42.60293,-83.35209
26127,Oceana,Oceana County,26659,43.63999,-86.48619
26129,Ogemaw,Ogemaw County,20770,44.31186,-84.20177
26131,Ontonagon,Ontonagon County,5816,46.85733,-89.40674
26133,Osceola,Osceola County,22891,44.04797,-85.28744
26135,Oscoda,Oscoda County,8219,44.71654,-84.17785
26137,Otsego,Otsego County,25091,45.02863,-84.61203
26139,Ottawa,Ottawa County,296200,42.99737,-86.08783
26141,Presque Isle,Presque Isle County,12982,45.397,-83.73482
26143,Roscommon,Roscommon County,23459,44.28233,-84.60996
26145,Saginaw,Saginaw County,190124,43.38679,-83.98185
26147,St. Clair,St. Clair County,160383,42.82959,-82.5897
26149,St. Joseph,St. Joseph County,60939,41.78304,-85.55564
26151,Sanilac,Sanilac County,40611,43.40675,-82.67828
26153,Schoolcraft,Schoolcraft County,8047,45.93156,-86.21621
26155,Shiawassee,Shiawassee County,68094,42.9775,-84.22762
26157,Tuscola,Tuscola County,53323,43.56733,-83.51394
26159,Van Buren,Van Buren County,75587,42.28243,-86.20438
26161,Washtenaw,Washtenaw County,372258,42.26526,-83.73695
26163,Wayne,Wayne County,1793561,42.25894,-83.14171
26165,Wexford,Wexford County,33673,44.26413,-85.57527
