fips,name,name_full,population,lat,lon
27001,Aitkin,Aitkin County,15697,46.58763,-93.4834
27003,Anoka,Anoka County,363887,45.16248,-93.24777
27005,Becker,Becker County,35183,46.93455,-95.60685
27007,Beltrami,Beltrami County,46228,47.91554,-94.97039
27009,Benton,Benton County,41379,45.69554,-94.02666
27011,Big Stone,Big Stone County,5166,45.38675,-96.51283
27013,Blue Earth,Blue Earth County,69112,44.05935,-94.04954
27015,Brown,Brown County,25912,44.29328,-94.78327
27017,Carlton,Carlton County,36207,46.57115,-92.48486
27019,Carver,Carver County,106922,44.832,-93.70174
27021,Cass,Cass County,30066,46.86307,-94.30051
27023,Chippewa,Chippewa County,12598,44.93729,-95.55874
27025,Chisago,Chisago County,56621,45.5275,-92.86224
27027,Clay,Clay County,65318,46.84928,-96.64087
27029,Clearwater,Clearwater County,8524,47.67472,-95.41967
27031,Cook,Cook County,5600,47.91952,-90.22083
27033,Cottonwood,Cottonwood County,11517,43.99989,-95.14563
27035,Crow Wing,Crow Wing County,66123,46.38174,-94.02703
27037,Dakota,Dakota County,439882,44.76591,-93.05565
27039,Dodge,Dodge County,20867,44.0225,-92.86298
27041,Douglas,Douglas County,39006,45.87773,-95.45201
27043,Faribault,Faribault County,13921,43.5772,-93.92071
27045,Fillmore,Fillmore County,21228,43.55248,-92.05942
27047,Freeborn,Freeborn County,30895,43.56591,-93.4523
27049,Goodhue,Goodhue County,47582,44.50578,-92.53227
27051,Grant,Grant County,6074,45.99469,-96.15312
27053,Hennepin,Hennepin County,1281565,45.00691,-93.40688
27055,Houston,Houston County,18843,43.54919,-91.51594
27057,Hubbard,Hubbard County,21344,47.22184,-94.89852
27059,Isanti,Isanti County,41135,45.59745,-93.32878
27061,Itasca,Itasca County,45014,47.47426,-93.84383
27063,Jackson,Jackson County,9989,43.52798,-95.10862
27065,Kanabec,Kanabec County,16032,45.91645,-93.28361
27067,Kandiyohi,Kandiyohi County,43732,45.23901,-95.03723
27069,Kittson,Kittson County,4207,48.81747,-97.0677
27071,Koochiching,Koochiching County,12062,48.53262,-93.78715
27073,Lac qui Parle,Lac qui Parle County,6719,45.05806,-96.2871
27075,Lake,Lake County,10905,47.52416,-91.40957
27077,Lake of the Woods,Lake of the Woods County,3763,49.02624,-94.93176
27079,Le Sueur,Le Sueur County,28674,44.30425,-93.7628
27081,Lincoln,Lincoln County,5640,44.38917,-96.42374
27083,Lyon,Lyon County,25269,44.36968,-95.87021
27087,Mahnomen,Mahnomen County,5411,47.40025,-95.77463
27089,Marshall,Marshall County,9040,48.37146,-96.94591
27091,Martin,Martin County,20025,43.56999,-94.51608
27085,McLeod,McLeod County,36771,44.82068,-94.34436
27093,Meeker,Meeker County,23400,45.10473,-94.45172
27095,Mille Lacs,Mille Lacs County,26459,45.92128,-93.634
27097,Morrison,Morrison County,34010,46.0778,-94.23795
27099,Mower,Mower County,40029,43.57209,-92.76428
27101,Murray,Murray County,8179,43.9974,-95.73738
27103,Nicollet,Nicollet County,34454,44.3588,-94.36756
27105,Nobles,Nobles County,22290,43.57758,-95.68112
27107,Norman,Norman County,6441,47.30679,-96.64239
27109,Olmsted,Olmsted County,162847,43.98726,-92.43099
27111,Otter Tail,Otter Tail County,60081,46.43237,-95.71015
27113,Pennington,Pennington County,13992,48.03999,-95.91722
27115,Pine,Pine County,28876,46.09727,-92.53097
27117,Pipestone,Pipestone County,9424,43.98952,-96.40704
27119,Polk,Polk County,31192,47.79485,-96.50446
27121,Pope,Pope County,11308,45.52806,-95.46332
27123,Ramsey,Ramsey County,552352,44.99243,-93.0688
27125,Red Lake,Red Lake County,3935,47.87123,-96.01813
27127,Redwood,Redwood County,15425,44.41147,-95.21076
27129,Renville,Renville County,14723,44.70054,-94.90316
27131,Rice,Rice County,67097,44.37347,-93.26971
27133,Rock,Rock County,9704,43.65515,-96.34494
27135,Roseau,Roseau County,15331,48.8255,-95.47418
27139,Scott,Scott County,150928,44.67059,-93.55277
27141,Sherburne,Sherburne County,97183,45.39562,-93.74353
27143,Sibley,Sibley County,14836,44.61695,-94.1579
27137,St. Louis,St. Louis County,200231,47.41467,-92.27152
27145,Stearns,Stearns County,158292,45.54676,-94.51455
27147,Steele,Steele County,37406,43.97916,-93.13694
27149,Stevens,Stevens County,9671,45.53637,-96.01696
27151,Swift,Swift County,9838,45.25245,-95.86508
27153,Todd,Todd County,25262,46.07116,-94.84486
27155,Traverse,Traverse County,3360,45.79249,-96.63639
27157,Wabasha,Wabasha County,21387,44.30784,-92.11459
27159,Wadena,Wadena County,14065,46.60885,-94.93816
27161,Waseca,Waseca County,18968,44.08004,-93.62939
27163,Washington,Washington County,267568,44.99834,-92.90112
27165,Watonwan,Watonwan County,11253,43.93483,-94.61341
27167,Wilkin,Wilkin County,6506,46.20734,-96.52377
27169,Winona,Winona County,49671,44.01462,-91.61429
27171,Wright,Wright County,141337,45.18166,-93.78608
27173,Yellow Medicine,Yellow Medicine County,9528,44.73888,-96.0688
