fips,name,name_full,population,lat,lon
39001,Adams,Adams County,27477,38.70887,-83.53266
39003,Allen,Allen County,102206,40.7908,-84.15142
39005,Ashland,Ashland County,52447,40.87033,-82.26643
39007,Ashtabula,Ashtabula County,97574,41.88047,-80.71037
39009,Athens,Athens County,62431,39.33191,-82.06284
39011,Auglaize,Auglaize County,46422,40.54353,-84.24422
39013,Belmont,Belmont County,66497,40.0202,-80.8414
39015,Brown,Brown County,43676,38.82574,-83.87139
39017,Butler,Butler County,390357,39.45451,-84.62746
39019,Carroll,Carroll County,26721,40.6053,-81.08938
39021,Champaign,Champaign County,38714,40.16293,-83.71135
39023,Clark,Clark County,136001,39.86753,-83.90849
39025,Clermont,Clermont County,208601,38.98393,-84.19656
39027,Clinton,Clinton County,42018,39.3951,-83.8442
39029,Columbiana,Columbiana County,101877,40.71814,-80.66503
39031,Coshocton,Coshocton County,36612,40.286,-81.93461
39033,Crawford,Crawford County,42025,40.82968,-82.92503
39035,Cuyahoga,Cuyahoga County,1264817,41.51135,-81.67479
39037,Darke,Darke County,51881,40.10567,-84.71391
39039,Defiance,Defiance County,38286,41.31265,-84.61378
39041,Delaware,Delaware County,214124,40.27843,-82.96234
39043,Erie,Erie County,75622,41.42176,-82.64239
39045,Fairfield,Fairfield County,158921,39.76865,-82.62432
39047,Fayette,Fayette County,28951,39.51233,-83.43422
39049,Franklin,Franklin County,1323807,39.99787,-83.00517
39051,Fulton,Fulton County,42713,41.64317,-84.15321
39053,Gallia,Gallia County,29220,38.74206,-82.26501
39055,Geauga,Geauga County,95397,41.54043,-81.12302
39057,Greene,Greene County,167966,39.7463,-83.88658
39059,Guernsey,Guernsey County,38438,40.00616,-81.50788
39061,Hamilton,Hamilton County,830639,39.16682,-84.62342
39063,Hancock,Hancock County,74920,41.00739,-83.63142
39065,Hardin,Hardin County,30696,40.62388,-83.59458
39067,Harrison,Harrison County,14483,40.26677,-81.14043
39069,Henry,Henry County,27662,41.34281,-84.12697
39071,Highland,Highland County,43317,39.21683,-83.55431
39073,Hocking,Hocking County,28050,39.52035,-82.4849
39075,Holmes,Holmes County,44223,40.58625,-81.94408
39077,Huron,Huron County,58565,41.10465,-82.62377
39079,Jackson,Jackson County,32653,39.00325,-82.65005
39081,Jefferson,Jefferson County,65249,40.37558,-80.69249
39083,Knox,Knox County,62721,40.38102,-82.43957
39085,Lake,Lake County,232603,41.71494,-81.31061
39087,Lawrence,Lawrence County,58240,38.58013,-82.53613
39089,Licking,Licking County,178519,40.08744,-82.43733
39091,Logan,Logan County,46150,40.39904,-83.78769
39093,Lorain,Lorain County,312964,41.35311,-82.10072
39095,Lucas,Lucas County,431279,41.67485,-83.47123
39097,Madison,Madison County,43824,39.89052,-83.47216
39099,Mahoning,Mahoning County,228614,41.03124,-80.7166
39101,Marion,Marion County,65359,40.5901,-83.1724
39103,Medina,Medina County,182470,41.18412,-81.95637
39105,Meigs,Meigs County,22210,39.01206,-81.93094
39107,Mercer,Mercer County,42528,40.56018,-84.67343
39109,Miami,Miami County,108774,39.95379,-84.15455
39111,Monroe,Monroe County,13385,39.68612,-81.02042
39113,Montgomery,Montgomery County,537309,39.82327,-84.20455
39115,Morgan,Morgan County,13802,39.59941,-81.80678
39117,Morrow,Morrow County,34950,40.54389,-82.81585
39119,Muskingum,Muskingum County,86410,39.9195,-81.97937
39121,Noble,Noble County,14115,39.75104,-81.48289
39123,Ottawa,Ottawa County,40364,41.54245,-82.88399
39125,Paulding,Paulding County,18806,41.1451,-84.60722
39127,Perry,Perry County,35408,39.76328,-82.22212
39129,Pickaway,Pickaway County,58539,39.60573,-82.96717
39131,Pike,Pike County,27088,39.03243,-83.11279
39133,Portage,Portage County,161791,41.18671,-81.25908
39135,Preble,Preble County,40999,39.7709,-84.77553
39137,Putnam,Putnam County,34451,41.00857,-84.21568
39139,Richland,Richland County,124936,40.77635,-82.48466
39141,Ross,Ross County,77093,39.36589,-83.01647
39143,Sandusky,Sandusky County,58896,41.39324,-83.1336
39145,Scioto,Scioto County,74008,38.73603,-82.93192
39147,Seneca,Seneca County,55069,41.08046,-83.20669
39149,Shelby,Shelby County,48230,40.32445,-84.24742
39151,Stark,Stark County,374853,40.85627,-81.29316
39153,Summit,Summit County,540428,41.18864,-81.50472
39155,Trumbull,Trumbull County,201977,41.32012,-80.59846
39157,Tuscarawas,Tuscarawas County,93263,40.43985,-81.48216
39159,Union,Union County,62784,40.27711,-83.34642
39161,Van Wert,Van Wert County,28931,40.83209,-84.60044
39163,Vinton,Vinton County,12800,39.25042,-82.39061
39165,Warren,Warren County,242337,39.44764,-84.17461
39167,Washington,Washington County,59771,39.42453,-81.43262
39169,Wayne,Wayne County,116894,40.87865,-81.98791
39171,Williams,Williams County,37102,41.54629,-84.66885
39173,Wood,Wood County,132248,41.42902,-83.61249
39175,Wyandot,Wyandot County,21900,40.81028,-83.31078
