fips,name,name_full,population,lat,lon
55001,Adams,Adams County,20654,44.01662,-89.80586
55003,Ashland,Ashland County,16027,46.80957,-90.68191
55005,Barron,Barron County,46711,45.38017,-91.78724
55007,Bayfield,Bayfield County,16220,46.80738,-91.03919
55009,Brown,Brown County,268740,44.58118,-87.95996
55011,Buffalo,Buffalo County,13317,44.27047,-91.7807
55013,Burnett,Burnett County,16526,45.85394,-92.53218
55015,Calumet,Calumet County,52442,44.13192,-88.28623
55017,Chippewa,Chippewa County,66297,45.05573,-91.14876
55019,Clark,Clark County,34659,44.78088,-90.68009
55021,Columbia,Columbia County,58490,43.46362,-89.53867
55023,Crawford,Crawford County,16113,43.18214,-91.0522
55025,Dane,Dane County,561504,43.02587,-89.39283
55027,Dodge,Dodge County,89396,43.37101,-88.73305
55029,Door,Door County,30066,45.02508,-87.24509
55031,Douglas,Douglas County,44295,46.63243,-91.99224
55033,Dunn,Dunn County,45440,44.93483,-91.95837
55035,Eau Claire,Eau Claire County,105710,44.6628,-91.39568
55037,Florence,Florence County,4558,45.91129,-88.33864
55039,Fond du Lac,Fond du Lac County,104154,43.80258,-88.42629
55041,Forest,Forest County,9179,45.79117,-88.84012
55043,Grant,Grant County,51938,42.70148,-90.75192
55045,Green,Green County,37093,42.55515,-89.60468
55047,Green Lake,Green Lake County,19018,43.7759,-89.05883
55049,Iowa,Iowa County,23709,43.00952,-90.08702
55051,Iron,Iron County,6137,46.48044,-90.37903
55053,Jackson,Jackson County,21145,44.31004,-90.80117
55055,Jefferson,Jefferson County,84900,42.98324,-88.70577
55057,Juneau,Juneau County,26718,43.87469,-89.98328
55059,Kenosha,Kenosha County,169151,42.56682,-87.91145
55061,Kewaunee,Kewaunee County,20563,44.50608,-87.51205
55063,La Crosse,La Crosse County,120784,43.9321,-91.21195
55065,Lafayette,Lafayette County,16611,42.53677,-90.16027
55067,Langlade,Langlade County,19491,45.22791,-89.04033
55069,Lincoln,Lincoln County,28415,45.38678,-89.81225
55071,Manitowoc,Manitowoc County,81359,44.11823,-87.6287
55073,Marathon,Marathon County,138013,44.92283,-89.9201
55075,Marinette,Marinette County,41872,45.33793,-87.8221
55077,Marquette,Marquette County,15592,43.7646,-89.40691
55078,Menominee,Menominee County,4255,45.01067,-88.74136
55079,Milwaukee,Milwaukee County,939489,43.05794,-87.89907
55081,Monroe,Monroe County,46274,43.99762,-90.75712
55083,Oconto,Oconto County,38965,44.88873,-87.92654
55085,Oneida,Oneida County,37845,45.69604,-89.47358
55087,Outagamie,Outagamie County,190705,44.37623,-88.41498
55089,Ozaukee,Ozaukee County,91503,43.29576,-87.89495
55091,Pepin,Pepin County,7318,44.53906,-92.06585
55093,Pierce,Pierce County,42212,44.67708,-92.54051
55095,Polk,Polk County,44977,45.47641,-92.67408
55097,Portage,Portage County,70377,44.42146,-89.59816
55099,Price,Price County,14054,45.72773,-90.24
55101,Racine,Racine County,197727,42.75004,-87.83889
55103,Richland,Richland County,17304,43.32414,-90.44014
55105,Rock,Rock County,163687,42.55833,-89.07877
55107,Rusk,Rusk County,14188,45.46503,-90.99546
55109,St.Croix,St.Croix County,93536,45.06681,-92.59935
55111,Sauk,Sauk County,65763,43.49938,-89.90704
55113,Sawyer,Sawyer County,18074,45.95782,-91.03166
55115,Shawano,Shawano County,40881,44.82485,-88.74813
55117,Sheboygan,Sheboygan County,118034,43.72493,-87.75534
55119,Taylor,Taylor County,19913,45.22622,-90.45215
55121,Trempealeau,Trempealeau County,30760,44.15939,-91.40471
55123,Vernon,Vernon County,30714,43.59626,-90.77463
55125,Vilas,Vilas County,23047,46.08199,-89.28556
55127,Walworth,Walworth County,106478,42.67451,-88.57991
55129,Washburn,Washburn County,16623,45.86894,-91.79105
55131,Washington,Washington County,136761,43.42634,-88.18728
55133,Waukesha,Waukesha County,406978,42.97583,-88.26765
55135,Waupaca,Waupaca County,51812,44.4826,-88.82865
55137,Waushara,Waushara County,24520,44.13181,-89.17842
55139,Winnebago,Winnebago County,171730,44.09055,-88.57181
55141,Wood,Wood County,74207,44.40608,-89.96164
