county,event_id,applicant,applicant_type,status_raw,status_norm,cat_a,cat_b,cat_c,cat_d,cat_e,cat_f,cat_g,total_calc,wb_row_total,comment,comment_html
Benton,E1,Benton County Highway,County,Complete,complete,0.0,50102.86,7760.29,0.0,0.0,0.0,0.0,57863.15,57863.15,"CAT B: Estimated: $53,899.20 in pushing debris off roads and EMPs; Reduced: $3,796.34 in ineligible straight time claimed; Validated: $50,102.86 utilizing applicant provided FAL/FAE summaries.
CAT C: Estimated: $13,844.87 in permanent repairs to gravel roads; Reduced: $6,084.58 in duplicate materials claims; Validated: $7,760.29 utilizing applicant provided FAL/FAE/FAM summaries.","CAT B: Estimated: $53,899.20 in pushing debris off roads and EMPs; <b>Reduced: $3,796.34</b> in ineligible straight time claimed; <b>Validated: $50,102.86 </b>utilizing applicant provided FAL/FAE summaries.<br><b>CAT C: Estimated: $13,844.87</b> in permanent repairs to gravel roads; <b>Reduced: $6,084.58</b> in duplicate materials claims; Validated: $7,760.29 utilizing applicant provided FAL/FAE/FAM summaries.<b><br></b>"
Benton,E1,Benton County EMA,County,Complete,complete,0.0,18440.03,0.0,0.0,0.0,0.0,0.0,18440.03,18440.03,"CAT B: Estimated: $24,792.09 for EOC activation and EMPs. Reduced: $6,352.06 in ineligible straight time claimed; Validated: $18,440.03 utilizing applicant provided FAL/FAE summaries.","CAT B: Estimated: $24,792.09 for EOC activation and EMPs. <b>Reduced: $6,352.06 </b>in ineligible straight time claimed; <b>Validated: $18,440.03 </b>utilizing applicant provided FAL/FAE summaries."
Benton,E1,Benton County Auditor,County,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CAT B: Estimated: $688 for 172 bags of ice. Reduced: $688 for not meeting 2026 minimum project threshold of $4,100.","<b>CAT B: Estimated:</b> $688 for 172 bags of ice. <b>Reduced: $688</b> for not meeting 2026 minimum project threshold of $4,100."
Carroll,E1,Carroll County,County,In Progress,in_progress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cat B: Estimated $8,359.68 for costs related to emergency access. Validated $xx with provided breakdown of FAL hours, OT Pay costs, and FAE fuel usage.","<b>Cat B:</b> <b>Estimated $8,359.68 </b>for costs related to emergency access. <b>Validated $xx</b> with provided breakdown of FAL hours, OT Pay costs, and FAE fuel usage."
Decatur,E1,Decatur County,County,In Progress,in_progress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cat ?: Estimated: $43,715.59 for labor, equipment, and materials used from June 6-23, 2026. Validated: $xx - $36,245.82 validated with timesheets and equipment/materials usage reports and load tickets labeled with ""STM - Storm Response"" cost code, pending assignment to damage dates and category of work. Reduced: $xx - Pending validation of additional $7,469.77 in budgeted labor costs depending on work category and allocation of costs to damage dates. 

RFI sent 7/17 with due date of 7/22: Requested clarification on which dates of damage/immediate threat the costs are related to and information to establish the category of work.","Cat ?: <b>Estimated: $43,715.59</b> for labor, equipment, and materials used from June 6-23, 2026. <b>Validated: $xx - $36,245.82 </b>validated<b> </b>with timesheets and equipment/materials usage reports and load tickets labeled with &quot;STM - Storm Response&quot; cost code, pending assignment to damage dates and category of work. <b>Reduced: $xx</b> - Pending validation of additional $7,469.77 in budgeted labor costs depending on work category and allocation of costs to damage dates. <br><br>RFI sent 7/17 with due date of 7/22: Requested clarification on which dates of damage/immediate threat the costs are related to and information to establish the category of work."
Floyd,E1,Floyd County Road Dept,County,Complete,complete,13110.95,0.0,7591.47,0.0,0.0,0.0,0.0,20702.42,20702.420000000002,"Category A: Applicant claimed $13,110.95 in costs in FAL, FAE, and Material Costs associated with debris removal. Reduced $0. Validated  $13,110.95 in costs using applicant supplied labor, equipment documentation, and applicant supplied invoices.
Category C: Applicant claimed $7,591.47 in costs in FAL, FAE, and Material Costs associated with road repairs. Reduced $0. Validated $7,591.47 in costs using applicant supplied labor, equipment documentation, and material invoices.","<b>Category A: Applicant claimed $13,110.95</b> in costs in FAL, FAE, and Material Costs associated with debris removal. <b>Reduced $0. Validated  $13,110.95</b> in costs using applicant supplied labor, equipment documentation, and applicant supplied invoices.<br><b>Category C: Applicant claimed $7,591.47</b> in costs in FAL, FAE, and Material Costs associated with road repairs. <b>Reduced $0. Validated $7,591.47</b> in costs using applicant supplied labor, equipment documentation, and material invoices."
Floyd,E2,Floyd County Road Dept,County,Complete,complete,6262.04,0.0,19427.1,0.0,0.0,0.0,0.0,25689.14,25689.14,"Category A: Applicant claimed $6,262.04 in costs in FAL, FAE, and Disposal Costs associated with debris removal. Reduced $0. Validated  $6,262.04 in costs using applicant supplied labor, equipment documentation, and applicant supplied invoices.
Category C: Applicant claimed $19,427.10 in costs in FAL, FAE, and Material Costs associated with road repairs. Reduced $0. Validated $19,427.10 in costs using applicant supplied labor, equipment documentation, and material invoices.","Category A: Applicant claimed $6,262.04 in costs in FAL, FAE, and Disposal Costs associated with debris removal. <b>Reduced $0. Validated  $6,262.04 </b>in costs using applicant supplied labor, equipment documentation, and applicant supplied invoices.<b><br>Category C: Applicant claimed $19,427.10</b> in costs in FAL, FAE, and Material Costs associated with road repairs.<b> Reduced $0. Validated $19,427.10</b> in costs using applicant supplied labor, equipment documentation, and material invoices."
Morgan,E2,Morgan County Highway Department,County,Complete,complete,0.0,9363.05,0.0,0.0,0.0,0.0,0.0,9363.05,9363.05,"CAT B: Estimated:  $14,409.95 Force Account responded to emergency calls, traffic hazards, debris removal, and temporary road closure using FAL & FAE.  Reduced $5,046.90 for regular hours for emergency work.  Validated:  $9,363.05 using applicant damage descriptions and FAL/FAE cost estimates.","CAT B: Estimated:  $14,409.95 Force Account responded to emergency calls, traffic hazards, debris removal, and temporary road closure using FAL &amp; FAE.<b>  Reduced $5,046.90 </b>for regular hours for emergency work.<b>  Validated:  $9,363.05 </b>using applicant damage descriptions and FAL/FAE cost estimates."
Morgan,E2,Morgan County EMA,County,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CAT B: Estimated:  $2,907.19 for EOC activation, storm response, storm clean-up assistance using FAL & FAE. Reduced $2,907.19 for not meeting FY26 minimum project threshold of $4,100.00. Validated: $0.00","<b>CAT B: Estimated:  $2,907.19</b> for EOC activation, storm response, storm clean-up assistance using FAL &amp; FAE. <b>Reduced $2,907.19 </b>for not meeting FY26 minimum project threshold of $4,100.00. <b>Validated: $0.00</b>"
Steuben,E1,Steuben Co Hwy Dept,County,Complete,complete,10138.6,0.0,0.0,0.0,0.0,0.0,0.0,10138.6,10138.6,"Cat A:  Estimated $10,139 FA Labor and Equipment associated w/debris removal. Validated: $10,139","<b>Cat A:  Estimated $10,139 </b>FA Labor and Equipment associated w/debris removal. <b>Validated: $10,139</b>"
