county,fips,event_id,event_label,stage,stage_label,ingested,population,county_threshold,validated_total,pct_of_target,money_tier,emergency,permanent,applicants_n,applicants_complete,inspector,content_status,source_file,source_rel,source_path,sp_url,last_touch,last_touch_by
Benton,18007,E1,"June 6 - 11, 2026",3,Ready for Table A,True,8719,42374.34,76303.18,180.1,met_100,68542.89,7760.29,3,3,Catherine Warren,complete,"Benton Chart A - Indiana (June 6 - 11, 2026).xlsx","Chart As/Validated/Benton Chart A - Indiana (June 6 - 11, 2026).xlsx","teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Chart A's/2. Ready for Table A/Benton Chart A - Indiana (June 6 - 11, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Chart%20A%27s/2.%20Ready%20for%20Table%20A/Benton%20Chart%20A%20-%20Indiana%20%28June%206%20-%2011%2C%202026%29.xlsx,2026-07-17 11:30:26,"Grobe, Jennifer"
Benton,18007,E2,"June 16 - 26, 2026",3,Ready for Table A,True,8719,42374.34,0,0.0,zero,0,0,0,0,,empty,"Benton Chart A - Indiana (June 16 - 26, 2026).xlsx","Chart As/Validated/Benton Chart A - Indiana (June 16 - 26, 2026).xlsx","teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Chart A's/2. Ready for Table A/Benton Chart A - Indiana (June 16 - 26, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Chart%20A%27s/2.%20Ready%20for%20Table%20A/Benton%20Chart%20A%20-%20Indiana%20%28June%2016%20-%2026%2C%202026%29.xlsx,2026-07-17 11:30:25,"Grobe, Jennifer"
Carroll,18015,E1,"June 6 - 11, 2026",1,Working,True,20306,98687.16,0.0,0.0,zero,0.0,0.0,1,0,Bria Moncure,active,"Carroll County Chart A - Indiana (June 6 - 11, 2026).xlsx","Chart As/Carroll County Chart A - Indiana (June 6 - 11, 2026).xlsx","teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Carroll/Carroll County Chart A - Indiana (June 6 - 11, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Carroll/Carroll%20County%20Chart%20A%20-%20Indiana%20%28June%206%20-%2011%2C%202026%29.xlsx,2026-07-17 00:07:43,"Moncure, Bria"
Carroll,18015,E2,"June 16 - 26, 2026",1,Working,False,20306,98687.16,,,unknown,,,,,,,"Carroll County Chart A - Indiana (June 16 - 26, 2026).xlsx",,"teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Carroll/Carroll County Chart A - Indiana (June 16 - 26, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Carroll/Carroll%20County%20Chart%20A%20-%20Indiana%20%28June%2016%20-%2026%2C%202026%29.xlsx,2026-07-17 00:07:43,"Moncure, Bria"
Cass,18017,E1,"June 6 - 11, 2026",1,Working,False,37870,184048.2,,,unknown,,,,,,,"Cass Chart A - Indiana (June 6 - 11, 2026).xlsx",,"teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Cass/Cass Chart A - Indiana (June 6 - 11, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Cass/Cass%20Chart%20A%20-%20Indiana%20%28June%206%20-%2011%2C%202026%29.xlsx,2026-07-15 11:46:03,"Warren, Catherine"
Cass,18017,E2,"June 16 - 26, 2026",1,Working,False,37870,184048.2,,,unknown,,,,,,,"Cass Chart A - Indiana (June 16 - 26, 2026).xlsx",,"teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Cass/Cass Chart A - Indiana (June 16 - 26, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Cass/Cass%20Chart%20A%20-%20Indiana%20%28June%2016%20-%2026%2C%202026%29.xlsx,2026-07-15 11:46:03,"Warren, Catherine"
Crawford,18025,E1,"June 6 - 11, 2026",1,Working,False,10526,51156.36,,,unknown,,,,,,,"Crawford Chart A - Indiana (June 6 - 11, 2026).xlsx",,"teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Crawford/Crawford Chart A - Indiana (June 6 - 11, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Crawford/Crawford%20Chart%20A%20-%20Indiana%20%28June%206%20-%2011%2C%202026%29.xlsx,2026-07-15 11:46:47,"Warren, Catherine"
Crawford,18025,E2,"June 16 - 26, 2026",1,Working,False,10526,51156.36,,,unknown,,,,,,,"Crawford Chart A - Indiana (June 16 - 26, 2026).xlsx",,"teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Crawford/Crawford Chart A - Indiana (June 16 - 26, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Crawford/Crawford%20Chart%20A%20-%20Indiana%20%28June%2016%20-%2026%2C%202026%29.xlsx,2026-07-15 11:46:47,"Warren, Catherine"
Decatur,18031,E1,"June 6 - 11, 2026",1,Working,True,26472,128653.92,0.0,0.0,zero,0.0,0.0,1,0,Bria Moncure,active,"Decatur - Indiana (June 6 - 11, 2026).xlsx","Chart As/Decatur - Indiana (June 6 - 11, 2026).xlsx","teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Decatur/Decatur - Indiana (June 6 - 11, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Decatur/Decatur%20-%20Indiana%20%28June%206%20-%2011%2C%202026%29.xlsx,2026-07-17 09:36:32,"Smith, Caleb"
Decatur,18031,E2,"June 16 - 26, 2026",1,Working,False,26472,128653.92,,,unknown,,,,,,,"Decatur - Indiana (June 16 - 26, 2026).xlsx",,"teams/R5/org/recoveryd/public/PA Yellow Pages/3. PDAs/Ongoing PDA's/IN PDA July 2026/Damage Data/Counties/Decatur/Decatur - Indiana (June 16 - 26, 2026).xlsx",https://usfema.sharepoint.com/teams/R5/org/recoveryd/public/PA%20Yellow%20Pages/3.%20PDAs/Ongoing%20PDA%27s/IN%20PDA%20July%202026/Damage%20Data/Counties/Decatur/Decatur%20-%20Indiana%20%28June%2016%20-%2026%2C%202026%29.xlsx,2026-07-17 09:36:32,"Smith, Caleb"
