Charta_Id,Pda_Id,Year,Month,State,State_Pop,State_Threshold,Declaration_Number,County,Met_Threshold,County_Pop,County_Threshold,Applicant_Id,SLTT_Organization_Id,Applicant_Name,Cat_A,Cat_B,Cat_C,Cat_D,Cat_E,Cat_F,Cat_G,Total,Status,Applicant_Type,Comment,Comment_Html,Inspector,Source_File,In_Pa_Pdas,Pa_Pdas_Applicant_Name
2026-May-MI-0001,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Alcona,True,10167,49411.62,,,Alcona County Road Commission,,78740.63,370322.78,,,,,449063.41,Complete,County,"Cat B - Estimated $78,740.63 for emergency work to primary and local roads in response to the flooding. Validated $78,740.63 based on applicant-supplied costs. 
Cat C - Estimated $630,894.93 for road washouts and culvert repairs. Reduced $260,572.15 due to ineligible costs for roads that are covered by the FHWA. Validated $370,322.78 based on applicant-supplied costs.","<b>Cat B - Estimated $78,740.63</b> for emergency work to primary and local roads in response to the flooding. <b>Validated $78,740.63</b> based on applicant-supplied costs. <br><b>Cat C - Estimated $630,894.93</b> for road washouts and culvert repairs. <b>Reduced $260,572.15</b> due to ineligible costs for roads that are covered by the FHWA. <b>Validated $370,322.78</b> based on applicant-supplied costs.",Tracie Smith,Table A - Michigan PDA - May 2026.xlsx,True,Alcona County Road Commission
2026-May-MI-0002,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Alcona,True,10167,49411.62,,,PIE&G - Alcona,,836.0,,,,,,836.0,Complete,Co Op,CAT B Estimated: $836 for EOC operations to monitor high risk areas. Validated  $836 utilizing Applicant activity description and cost summary.,<b>CAT B Estimated: $836 </b>for EOC operations to monitor high risk areas. <b>Validated  $836</b> utilizing Applicant activity description and cost summary.,Tracie Smith,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0003,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Allegan,False,120502,585639.72,,,City of Douglas,,,89967.0,,,,,89967.0,Complete,City,"Estimated: CAT C $605,000.00 for slope stabilization & road repairs; Reduced: $515,033.00, $98,033 to deduct for engineering costs, which are excluded from damage assessments, $117,000.00 deducted from the Union St. estimate-- these costs exceeded FEMA's engineer's estimate for this site and $300,000 was deducted for a FHWA Road; Validated $89,967.00 using applicant provided contract estimates, maps, photos, and FEMA engineering estimate for Union Street.","Estimated: CAT C $605,000.00 for slope stabilization &amp; road repairs; <b>Reduced: $515,033.00, </b>$98,033 to deduct for engineering costs, which are excluded from damage assessments, $117,000.00 deducted from the Union St. estimate-- these costs exceeded FEMA&#x27;s engineer&#x27;s estimate for this site and $300,000 was deducted for a FHWA Road;<b> Validated $89,967.00 </b>using applicant provided contract estimates, maps, photos, and FEMA engineering estimate for Union Street.<b><br></b>",,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0004,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Allegan,False,120502,585639.72,,,City of Plainwell,33497.3,,,,,,,33497.3,Complete,City,"Estimated: CAT A: $33,497.30 for contract costs, FA Equipment and Materials for debris removal from various roads due to tornados. Validated: $33,497.30 utilizing applicant provided summary sheets and maps.","Estimated: CAT A: $33,497.30 for contract costs, FA Equipment and Materials for debris removal from various roads due to tornados<b>. Validated: $33,497.30 </b>utilizing applicant provided summary sheets and maps.",,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0005,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Allegan,False,120502,585639.72,,,Gun Plain Township,70650.0,,,20282.0,,,,90932.0,Complete,,"Estimated: CAT A: $70,650.00 for contract costs for debris removal from downed trees throughout the cemetery. Validated: $70,650.00 using applicant provided invoices and photos.
Estimated: CAT D: $20,282 for three pump station replacements. Validated: $20,282 utilizing applicant provided cost estimates and photos.","<b>Estimated: </b>CAT A: $70,650.00<b> </b>for contract costs for debris removal from downed trees throughout the cemetery. <b>Validated</b>: $70,650.00 using applicant provided invoices and photos.<br><b>Estimated: </b>CAT D: $20,282 for three pump station replacements. <b>Validated</b>: $20,282 utilizing applicant provided cost estimates and photos.<br>",,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0006,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Alpena,True,28907,140488.02,,,Alpena Road Commission,,,147388.0,,,,,147388.0,Complete,Government,"Estimated: $211,360 county wide culvert and roadway repairs. Reduced $63,972 as Genschaw, Grand Lake, Lacomb, Bloom, Edmonds, and Salinas roads were classified as major collectors and ineligible for FEMA PA. Validated: $147,388 utilizing applicant supplied invoices, cost estimates, and photos.","<b>Estimated: $211,360</b> county wide culvert and roadway repairs.<b> Reduced $63,972</b> as Genschaw, Grand Lake, Lacomb, Bloom, Edmonds, and Salinas roads were classified as major collectors and ineligible for FEMA PA. <b>Validated: $147,388 </b>utilizing applicant supplied invoices, cost estimates, and photos.",Jennifer Grobe,Table A - Michigan PDA - May 2026.xlsx,True,Alpena Road Commission
2026-May-MI-0007,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Alpena,True,28907,140488.02,,,"Alpena, City of",,,,73375.93,,,,73375.93,Complete,City,"Estimated: $73,375.93 pump that was destroyed due to overuse, repairs to grit chamber and sludge pumps. Validated: $73,375.93 utilizing applicant supplied invoices for repairs to the grit chamber and sludge pumps and cost estimate for replacement pump.  Applicant noted an interest in mitigation, but did not include mitigation costs in their cost estimate.","<b>Estimated: $73,375.93 </b>pump that was destroyed due to overuse, repairs to grit chamber and sludge pumps.<b> Validated: $73,375.93</b> utilizing applicant supplied invoices for repairs to the grit chamber and sludge pumps and cost estimate for replacement pump.  Applicant noted an interest in mitigation, but did not include mitigation costs in their cost estimate.",Jennifer Grobe,Table A - Michigan PDA - May 2026.xlsx,True,City of Alpena
2026-May-MI-0008,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Antrim,False,23431,113874.66,,,Antrim County,,28062.99,,20183.44,,,,48246.43,Complete,County,"Cat B: Estimated: $28,062.99 for sandbagging, engineering work to support the sandbagging efforts, and emergency response supplies. Validated: $28,062.99 using applicant provided invoices and photos
Cat D: Estimated: $20,183.44 for dam repairs using contractors and materials. Validated: $20,183.44 using applicant provided invoices and photos.","<b>Cat B: Estimated: $28,062.99 </b>for sandbagging, engineering work to support the sandbagging efforts, and emergency response supplies. <b>Validated: $28,062.99 </b>using applicant provided invoices and photos<br><b>Cat D: Estimated: $20,183.44</b> for dam repairs using contractors and materials.<b> Validated: $20,183.44</b> using applicant provided invoices and photos.",Connor Blevins,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0009,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Antrim,False,23431,113874.66,,,Village of Bellaire,,,,,,,,,Complete,City,"Cat B: Estimated: $3,789.08 for emergency pumping activities including FAL, FAE, FAM. Reduced: $3,789.08 for being below FY 26 minimum threshold.","<b>Cat B: Estimated: $3,789.08</b> for emergency pumping activities including FAL, FAE, FAM. <b>Reduced: $3,789.08</b> for being below FY 26 minimum threshold. <br>",Connor Blevins,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0010,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Benzie,True,17970,87334.2,,,Benzie County Road Commission,,,,,,,,,Complete,County,"CAT C: Maple City Hyw Estimated: $120, 935 high water damage to culverts Reduced: $120,935 The damages are ineligible for FEMA PA due to the road covered by the FHWA.
CAT C: Gorivan Rd Estimated: $175,559 water damage eroded asphalt Reduced: $175,559 Reviewed contractor estimate and photos, the damages are pre-existing.","CAT C: Maple City Hyw <b>Estimated: $120, 935</b> high water damage to culverts<b> Reduced: $120,935</b> The damages are ineligible for FEMA PA due to the road covered by the FHWA.<br>CAT C: Gorivan Rd <b>Estimated: $175,559</b> water damage eroded asphalt <b>Reduced</b>: <b>$175,559</b> Reviewed contractor estimate and photos, the damages are pre-existing.",Richard Chiarello,Table A - Michigan PDA - May 2026.xlsx,True,Benzie County Road Commission
