Charta_Id,Pda_Id,Year,Month,State,State_Pop,State_Threshold,Declaration_Number,County,Met_Threshold,County_Pop,County_Threshold,Applicant_Id,SLTT_Organization_Id,Applicant_Name,Cat_A,Cat_B,Cat_C,Cat_D,Cat_E,Cat_F,Cat_G,Total,Status,Applicant_Type,Comment,Comment_Html,Inspector,Source_File,In_Pa_Pdas,Pa_Pdas_Applicant_Name
2026-May-WI-0001,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Bayfield,False,16220,78829.2,,,Bayfield County,5825.0,,,,,,,5825.0,Complete,,"CAT A: Estimated: $5,825 for debris removal from public sidewalks. Validated: $5,825 using applicant provided cost summaries and photos","CAT A: <b>Estimated:</b> $5,825 for debris removal from public sidewalks. <b>Validated:</b> $5,825 using applicant provided cost summaries and photos",,WI PDA - May 2026 - Table A.xlsx,True,Bayfield County
2026-May-WI-0002,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Bayfield,False,16220,78829.2,,,City of Washburn,36635.43,,,,,,,36635.43,Complete,,"CAT A: Estimated: $36,635.43 for storm damage clean up. Validated: $36,635.43 utilizing Applicant provided FAL and FAE summary sheets.","CAT A: <b>Estimated: $36,635.43 </b>for storm damage clean up. <b>Validated: $36,635.43 </b>utilizing Applicant provided FAL and FAE summary sheets.",,WI PDA - May 2026 - Table A.xlsx,True,City of Washburn
2026-May-WI-0003,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Bayfield,False,16220,78829.2,,,Town of Barnes,,,,,,,,,Complete,,"CAT A: Estimated: $1,150.69 for debris removal from roadways due to flooding. Reduced: $1,150.69 for not meeting FY26 minimum project threshold of $4,100. Validated: $0","CAT A: <b>Estimated:</b> $1,150.69 for debris removal from roadways due to flooding. <b>Reduced:</b> $1,150.69 for not meeting FY26 minimum project threshold of $4,100. <b>Validated</b>: $0",,WI PDA - May 2026 - Table A.xlsx,True,Town of Barnes
2026-May-WI-0004,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Bayfield,False,16220,78829.2,,,Town of Washburn,8935.68,,,,,,,8935.68,Complete,,"CAT A: Estimated: $8,935.68 for debris removal from roadways and ditches due to flooding. Validated: $8,935.68 using applicant provided cost summaries.","CAT A: <b>Estimated:</b> $8,935.68 for debris removal from roadways and ditches due to flooding. <b>Validated:</b> $8,935.68 using applicant provided cost summaries.",,WI PDA - May 2026 - Table A.xlsx,True,Town of Washburn
2026-May-WI-0005,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Iowa,True,23709,115225.74,,,Department of Transportation - Iowa,3000.0,,,,,,,3000.0,Complete,,"CAT A: Estimated: $3,000.00 debris removal due to flooding. Validated: $3,000.00 utilizing applicant provided summary sheets.","<b>CAT A: Estimated: $3,000.00 </b>debris removal due to flooding. Validated: $3,000.00 utilizing applicant provided summary sheets.",Angel Felix,WI PDA - May 2026 - Table A.xlsx,True,Department of Transportation
2026-May-WI-0006,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Iowa,True,23709,115225.74,,,Hazel Dell Historic School District,,,,,29708.85,,,29708.85,Complete,Other,"CAT E: Estimated $29,708.85 for damages to historic school building. Validated: $29,708.85 utilizing applicants estimates and photos.","<b>CAT E: Estimated </b>$29,708.85 for damages to historic school building. <b>Validated: </b>$29,708.85 utilizing applicants estimates and photos.",Angel Felix,WI PDA - May 2026 - Table A.xlsx,True,Hazel Dell Historic School District
2026-May-WI-0007,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Iowa,True,23709,115225.74,,,Iowa County Highway,,,22669.14,,,,,22669.14,Complete,County,"CAT C: Estimated: $22,669.14 for damages to road shoulder and roadside. Validated: $22,669.14 utilizing applicants provided invoice.","<b>CAT C: Estimated: </b>$22,669.14 for damages to road shoulder and roadside. <b>Validated: </b>$22,669.14 utilizing applicants provided invoice.",Angel Felix,WI PDA - May 2026 - Table A.xlsx,True,Iowa County Highway
2026-May-WI-0008,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Iowa,True,23709,115225.74,,,Township of Dodgeville,,,29678.0,,,,,29678.0,Complete,City,"CAT C: Estimated: $29,678 for road washouts, shoulder repair, culvert repair and breakage of asphalt on 12 roads). Validated: $29,678 utilizing applicant provided descriptions, maps, and updated cost estimates summary.","<b>CAT C: Estimated:</b> $29,678 for road washouts, shoulder repair, culvert repair and breakage of asphalt on 12 roads). <b>Validated:</b> $29,678 utilizing applicant provided descriptions, maps, and updated cost estimates summary.",Angel Felix,WI PDA - May 2026 - Table A.xlsx,True,Township of Dodgeville
2026-May-WI-0009,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Iowa,True,23709,115225.74,,,Township of Eden,,,4895.06,,,,,4895.06,Complete,City,"CAT B: Estimated: $237.40 for patroling Reduced: $237.40 for not meeting FY26 minimum project threshold of $4,100.
CAT C: Estimated: $4,895.06 for road washout and damage to a culvert of 1 road. Validated: $4,895.06 utilizing applicant provided descriptions, maps, and updated cost estimates summary","<b>CAT B: Estimated: </b>$237.40 for patroling<b> Reduced: </b>$237.40 for not meeting FY26 minimum project threshold of $4,100.<b><br>CAT C: Estimated: </b>$4,895.06 for road washout and damage to a culvert of 1 road. <b>Validated: </b>$4,895.06 utilizing applicant provided descriptions, maps, and updated cost estimates summary",Angel Felix,WI PDA - May 2026 - Table A.xlsx,True,Township of Eden
2026-May-WI-0010,2026-May-WI,2026,May,WI,5893718,11433812.92,4923,Iowa,True,23709,115225.74,,,Township of Highland,,,48487.0,,,,,48487.0,Complete,Government,"Cat A: Estimated $200 for debris cleanup. Reduced: $200 for not meeting FY26 minimum project threshold of $4,100.
CAT C: Estimated: $53,687 for damages to 10 roads including severe gravel washouts, ruts cut by water and several culverts damaged by flood driven debris. Reduced: $5,200 for being a FHWA road not eligible for FEMA PA Validated: $48,487 utilizing applicant provided descriptions, maps, and updated cost estimates summary.","<b>Cat A: </b>Estimated $200 for debris cleanup.<b> Reduced: </b>$200 for not meeting FY26 minimum project threshold of $4,100.<b><br>CAT C:</b> <b>Estimated:</b> $53,687 for damages to 10 roads including severe gravel washouts, ruts cut by water and several culverts damaged by flood driven debris. <b>Reduced: </b>$5,200 for being a FHWA road not eligible for FEMA PA <b>Validated: </b>$48,487 utilizing applicant provided descriptions, maps, and updated cost estimates summary.",Angel Felix,WI PDA - May 2026 - Table A.xlsx,True,Township of Highland
