county,fips,event_id,event_label,stage,stage_label,ingested,population,county_threshold,validated_total,pct_of_target,money_tier,emergency,permanent,applicants_n,applicants_complete,inspector,content_status,source_file,source_rel,source_path,sp_url,last_touch,last_touch_by
Alcona,26001,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,10167,49411.62,449899.41,910.5,met_100,79576.63,370322.78,2,2,Tracie Smith,complete,Alcona County - Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Alcona County - Chart A - Michigan (2026).xlsx,,,,
Alpena,26007,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,28907,140488.02,220763.93,157.1,met_100,0.0,220763.93,2,2,Jennifer Grobe,complete,Alpena Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Alpena Chart A - Michigan (2026).xlsx,,,,
Benzie,26019,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,17970,87334.2,231686.62,265.3,met_100,0.0,231686.62,6,6,Richard Chiarello,complete,Benzie Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Benzie Chart A - Michigan (2026).xlsx,,,,
Charlevoix,26029,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,26054,126622.44,224757.5,177.5,met_100,0.0,224757.5,4,4,Shawana Thomas,complete,Charlevoix Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Charlevoix Chart A - Michigan (2026).xlsx,,,,
Cheboygan,26031,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,25579,124313.94,8462908.22,6807.7,met_100,6076058.45,2386849.77,6,6,Connor Blevins,complete,Cheboygan Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Cheboygan Chart A - Michigan (2026).xlsx,,,,
Crawford,26039,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,12988,63121.68,67515.0,107.0,met_100,17423.0,50092.0,5,5,,complete,Crawford - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Crawford - Michigan (2026).xlsx,,,,
Eaton,26045,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,109175,530590.5,824477.04,155.4,met_100,196291.04,628186.0,5,5,Tracie Smith,complete,Eaton County - Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Eaton County - Chart A - Michigan (2026).xlsx,,,,
Emmet,26047,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,34112,165784.32,278017.66,167.7,met_100,191373.9,86643.76,3,3,Shawana Thomas,complete,Emmett Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Emmett Chart A - Michigan (2026).xlsx,,,,
Grand Traverse,26055,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,95238,462856.68,2690331.0,581.2,met_100,341429.52,2348901.48,5,5,Connor Blevins,complete,Grand Traverse Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Grand Traverse Chart A - Michigan (2026).xlsx,,,,
Gratiot,26057,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,41761,202958.46,206180.91,101.6,met_100,31371.55,174809.36,6,6,Javon Cotton,complete,Gratiot County- Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Gratiot County- Michigan (2026).xlsx,,,,
Iron,26071,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,11631,56526.66,383314.33,678.1,met_100,0.0,383314.33,1,1,Javon Cotton,complete,Iron County Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Iron County Chart A - Michigan (2026).xlsx,,,,
Kalkaska,26079,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,17939,87183.54,372064.86,426.8,met_100,0.0,372064.86,5,5,Javon Cotton,complete,Kalkaska Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Kalkaska Chart A - Michigan (2026).xlsx,,,,
Lake,26085,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,12096,58786.56,137336.87,233.6,met_100,0.0,137336.87,2,2,Javon Cotton,complete,Lake County Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Lake County Chart A - Michigan (2026).xlsx,,,,
Manistee,26101,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,25032,121655.52,1952971.61,1605.3,met_100,12477.0,1940494.61,3,3,Angela Williams,complete,Manistee County Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Manistee County Chart A - Michigan (2026).xlsx,,,,
Marquette,26103,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,66017,320842.62,400562.0,124.8,met_100,19945.0,380617.0,2,2,Catherine Waren,complete,Marquette Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Marquette Chart A - Michigan (2026).xlsx,,,,
Mecosta,26107,E1,2026-04-10 - 2026-04-21,4,Entered in Table A,True,39714,193010.04,632000.0,327.4,met_100,0.0,632000.0,1,1,Catherine Waren,complete,Mecosta Chart A - Michigan (2026).xlsx,MI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Mecosta Chart A - Michigan (2026).xlsx,,,,
