county,event_id,applicant,applicant_type,status_raw,status_norm,cat_a,cat_b,cat_c,cat_d,cat_e,cat_f,cat_g,total_calc,wb_row_total,comment,comment_html
Iowa,E1,Hazel Dell Historic School District,Other,Complete,complete,0.0,0.0,0.0,0.0,29708.85,0.0,0.0,29708.85,29708.85,"CAT E: Estimated $29,708.85 for damages to historic school building. Validated: $29,708.85 utilizing applicants estimates and photos.","<b>CAT E: Estimated </b>$29,708.85 for damages to historic school building. <b>Validated: </b>$29,708.85 utilizing applicants estimates and photos."
Iowa,E1,Iowa County Highway,County,Complete,complete,0.0,0.0,22669.14,0.0,0.0,0.0,0.0,22669.14,22669.14,"CAT C: Estimated: $22,669.14 for damages to road shoulder and roadside. Validated: $22,669.14 utilizing applicants provided invoice.","<b>CAT C: Estimated: </b>$22,669.14 for damages to road shoulder and roadside. <b>Validated: </b>$22,669.14 utilizing applicants provided invoice."
Iowa,E1,Township of Dodgeville,City,Complete,complete,0.0,0.0,29678.0,0.0,0.0,0.0,0.0,29678.0,29678.0,"CAT C: Estimated: $29,678 for road washouts, shoulder repair, culvert repair and breakage of asphalt on 12 roads). Validated: $29,678 utilizing applicant provided descriptions, maps, and updated cost estimates summary.","<b>CAT C: Estimated:</b> $29,678 for road washouts, shoulder repair, culvert repair and breakage of asphalt on 12 roads). <b>Validated:</b> $29,678 utilizing applicant provided descriptions, maps, and updated cost estimates summary."
Iowa,E1,Township of Eden,City,Complete,complete,0.0,0.0,4895.06,0.0,0.0,0.0,0.0,4895.06,4895.06,"CAT B: Estimated: $237.40 for patroling Reduced: $237.40 for not meeting FY26 minimum project threshold of $4,100.
CAT C: Estimated: $4,895.06 for road washout and damage to a culvert of 1 road. Validated: $4,895.06 utilizing applicant provided descriptions, maps, and updated cost estimates summary","<b>CAT B: Estimated: </b>$237.40 for patroling<b> Reduced: </b>$237.40 for not meeting FY26 minimum project threshold of $4,100.<b><br>CAT C: Estimated: </b>$4,895.06 for road washout and damage to a culvert of 1 road. <b>Validated: </b>$4,895.06 utilizing applicant provided descriptions, maps, and updated cost estimates summary"
Iowa,E1,Township of Highland,Government,Complete,complete,0.0,0.0,48487.0,0.0,0.0,0.0,0.0,48487.0,48487.0,"Cat A: Estimated $200 for debris cleanup. Reduced: $200 for not meeting FY26 minimum project threshold of $4,100.
CAT C: Estimated: $53,687 for damages to 10 roads including severe gravel washouts, ruts cut by water and several culverts damaged by flood driven debris. Reduced: $5,200 for being a FHWA road not eligible for FEMA PA Validated: $48,487 utilizing applicant provided descriptions, maps, and updated cost estimates summary.","<b>Cat A: </b>Estimated $200 for debris cleanup.<b> Reduced: </b>$200 for not meeting FY26 minimum project threshold of $4,100.<b><br>CAT C:</b> <b>Estimated:</b> $53,687 for damages to 10 roads including severe gravel washouts, ruts cut by water and several culverts damaged by flood driven debris. <b>Reduced: </b>$5,200 for being a FHWA road not eligible for FEMA PA <b>Validated: </b>$48,487 utilizing applicant provided descriptions, maps, and updated cost estimates summary."
Iowa,E1,Department of Transportation,,Complete,complete,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,"CAT A: Estimated: $3,000.00 debris removal due to flooding. Validated: $3,000.00 utilizing applicant provided summary sheets.","<b>CAT A: Estimated: $3,000.00 </b>debris removal due to flooding. Validated: $3,000.00 utilizing applicant provided summary sheets."
Jackson,E1,Ho Chunk,Other,Complete,complete,98707.21,0.0,0.0,0.0,0.0,0.0,0.0,98707.21,98707.21,"Cat A: Estimated $98,707.21 for vegetative debris removal from roads, right of way, blocking public access. FAL, FAM, FAE. Validated: $98,707.21 utilizing applicant provided invoices and estimates","<b>Cat A: Estimated </b>$98,707.21 for vegetative debris removal from roads, right of way, blocking public access. FAL, FAM, FAE. <b>Validated:</b> $98,707.21 utilizing applicant provided invoices and estimates"
Jackson,E1,Township of Komensky,Government,Complete,complete,15365.86,0.0,0.0,0.0,0.0,0.0,0.0,15365.86,15365.86,"CAT A: Estimated $15,365.86 Force Account cleared downed trees across county highway and side roads. Validated: $15,365.86 utilizing applicant provided photos, damage description and FAL/E cost estimates
CAT B: Estimated $2,014.89 cleared downed power lines for emergency purposes, search and rescue, and traffic control. Reduced: $2,014.89 for not meeting FY26 minimum project threshold of $4,100.","<b>CAT A: Estimated</b> $15,365.86 Force Account cleared downed trees across county highway and side roads. <b>Validated:</b> $15,365.86 utilizing applicant provided photos, damage description and FAL/E cost estimates<br><b>CAT B: Estimated</b> $2,014.89 cleared downed power lines for emergency purposes, search and rescue, and traffic control. <b>Reduced:</b> $2,014.89 for not meeting FY26 minimum project threshold of $4,100."
Jackson,E1,Jackson Electric Cooperative,Co Op,Complete,complete,0.0,0.0,0.0,0.0,0.0,41267.41,0.0,41267.41,41267.41,"Cat F: Estimated $41,267.41 for storm damaged electric transmission lines and components that needed to be replaced. FAL, FAE, FAM. Validated: $41,267.41 utilizing applicant provided invoices and estimates","<b>Cat F: Estimated </b>$41,267.41 for storm damaged electric transmission lines and components that needed to be replaced. FAL, FAE, FAM. <b>Validated:</b> $41,267.41 utilizing applicant provided invoices and estimates"
Jefferson,E1,City of Fort Atkinson,City,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estimated: $0 Applicant uploaded an email indicating that there was no damage to businesses or homes and that the applicant had no overtime costs related to the event. Applicant responded to RFI and stated that they were no longer interested in participating in the PDA. Validated $0 as the applicant is not submitting costs for the PDA,<b>Estimated: $0</b> Applicant uploaded an email indicating that there was no damage to businesses or homes and that the applicant had no overtime costs related to the event. Applicant responded to RFI and stated that they were no longer interested in participating in the PDA. <b>Validated</b> $0 as the applicant is not submitting costs for the PDA
Jefferson,E1,City of Jefferson,City,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estimated: $0 The documents provided for costs are for Jefferson Utilities which has already been covered. No new documents or costs have been provided. Validated: $0 as the costs provided are already covered under the Jefferson Utilities applicant,<b>Estimated: $0</b> The documents provided for costs are for Jefferson Utilities which has already been covered. No new documents or costs have been provided. <b>Validated</b>: $0 as the costs provided are already covered under the Jefferson Utilities applicant
Jefferson,E1,City of Lake Mills,City,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Estimated: $0 No documents uploaded, no damages. State Emergency Manager notes indicate that a call was made but the city did not return the call. Validated: $0 As the applicant did not submit costs to FEMA","<b>Estimated: $0</b> No documents uploaded, no damages. State Emergency Manager notes indicate that a call was made but the city did not return the call. <b>Validated:</b> $0 As the applicant did not submit costs to FEMA"
Jefferson,E1,City of Waterloo,City,Complete,complete,53795.63,10235.09,0.0,0.0,0.0,0.0,0.0,64030.72,64030.72,"Cat A: Estimated: $53,795.63 Debris removal throughout the city, from roads, from powerlines. FAL, FAE. Validated: $53,795.63 utilizing applicant provided cost estimates and invoices 
Cat B: Estimated: $14,753.93 Emergency protective measures, search and rescue, FAL, FAE. Reduced: $2,518.84. Activities were not eligible under cat B, activity was described as weather watch and standby time for equipment. Validated: $10,235.09 utilizing applicant provided cost estimates and invoices","Cat A: <b>Estimated: $53,795.63</b> Debris removal throughout the city, from roads, from powerlines. FAL, FAE. <b>Validated:</b> $53,795.63 utilizing applicant provided cost estimates and invoices <br>Cat B: <b>Estimated: $14,753.93 </b>Emergency protective measures, search and rescue, FAL, FAE. <b>Reduced</b>: $2,518.84. Activities were not eligible under cat B, activity was described as weather watch and standby time for equipment. <b>Validated:</b> $10,235.09 utilizing applicant provided cost estimates and invoices"
