county,fips,event_id,event_label,stage,stage_label,ingested,population,county_threshold,validated_total,pct_of_target,money_tier,emergency,permanent,applicants_n,applicants_complete,inspector,content_status,source_file,source_rel,source_path,sp_url,last_touch,last_touch_by
Bayfield,55007,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,16220,78829.2,51396.11,65.2,met_50,51396.11,0.0,4,4,,complete,Bayfield County Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Bayfield County Chart A - Wisconsin (2026).xlsx,,,,
Iowa,55049,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,23709,115225.74,138438.05,120.1,met_100,3000.0,135438.05,6,6,Angel Felix,complete,Iowa Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Iowa Chart A - Wisconsin (2026).xlsx,,,,
Jackson,55053,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,21145,102764.7,155340.48,151.2,met_100,114073.07,41267.41,3,3,Lindsay LaMarca,complete,Jackson County Chart A - Wisconsin (2026) Final.xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Jackson County Chart A - Wisconsin (2026) Final.xlsx,,,,
Jefferson,55055,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,84900,412614.0,456805.42,110.7,met_100,239915.42,216890.0,28,28,Connor Blevins,complete,Jefferson County Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Jefferson County Chart A - Wisconsin (2026).xlsx,,,,
Juneau,55057,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,26718,129849.48,170353.77,131.2,met_100,99699.69,70654.08,14,14,Natalie Schrader,complete,Juneau Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Juneau Chart A - Wisconsin (2026).xlsx,,,,
Kewaunee,55061,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,20563,99936.18,300860.0,301.1,met_100,27500.0,273360.0,5,5,Catherine Warren,complete,Kewaunee Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Kewaunee Chart A - Wisconsin (2026).xlsx,,,,
Manitowoc,55071,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,81359,395404.74,162270.26,41.0,under,0.0,162270.26,4,4,James Cathey,complete,Manitowoc Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Manitowoc Chart A - Wisconsin (2026).xlsx,,,,
Marathon,55073,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,138013,670743.18,271939.53,40.5,under,56462.04,215477.49,6,6,Angel Felix,complete,Marathon County Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Marathon County Chart A - Wisconsin (2026).xlsx,,,,
Outagamie,55087,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,190705,926826.3,1404135.39,151.5,met_100,250032.28,1154103.11,13,13,Tracie Smith,complete,Outagamie - Chart A WI May 2026.xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Outagamie - Chart A WI May 2026.xlsx,,,,
Racine,55101,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,197727,960953.22,877428.33,91.3,met_50,9500.0,867928.33,5,5,,complete,Racine Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Racine Chart A - Wisconsin (2026).xlsx,,,,
Rock,55105,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,163687,795518.82,11033303.07,1386.9,met_100,947619.07,10085684.0,21,21,Jessica Price,complete,Chart A - Rock County.xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Chart A - Rock County.xlsx,,,,
Sauk,55111,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,65763,319608.18,155775.7,48.7,under,89608.48,66167.22,6,6,Shawana Thomas,complete,Sauk Chart A- Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Sauk Chart A- Wisconsin (2026).xlsx,,,,
Vernon,55123,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,30714,149270.04,1117745.0,748.8,met_100,67763.0,1049982.0,16,16,Richard Chiarello,complete,Vernon Chart A Draft - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Vernon Chart A Draft - Wisconsin (2026).xlsx,,,,
Waupaca,55135,E1,2026-04-13 - 2026-04-23,4,Entered in Table A,True,51812,251806.32,1955766.07,776.7,met_100,482603.97,1473162.1,16,16,Javon Cotton,complete,Waupaca Chart A - Wisconsin (2026).xlsx,WI 2026 Chart A/Chart A's for PDA Lead Review/Ready for Table A/Entered in Table A/Waupaca Chart A - Wisconsin (2026).xlsx,,,,
